Country,Artist,Album,Genre,Release Year,Monthly Listeners (Millions),Total Streams (Millions),Total Hours Streamed (Millions),Avg Stream Duration (Min),Platform Type,Streams Last 30 Days (Millions),Skip Rate (%),reach_cohort,Momentum_Category,Hours per Stream,Engagement_Category
South Africa,Post Malone,Austin,Reggaeton,2019,66.32,4736.9,13406.63,3.56,Premium,192.91,37.23,Superstar (50M+),Stable Superstar,2.830253963562668,Polarizing Tracks
Australia,Karol G,MAÑANA SERÁ BONITO,K-pop,2019,99.52,3266.9,11029.71,3.54,Free,50.33,3.5,Superstar (50M+),Legacy Decliner,3.376200679543298,Loyal Hits
United States,Ed Sheeran,Autumn Variations,Jazz,2019,59.26,85.59,335.14,2.62,Free,181.18,34.53,Superstar (50M+),High-Momentum Growth,3.9156443509755814,Weak Engagement
Brazil,Ariana Grande,Eternal Sunshine,R&B,2020,67.23,1110.47,3070.03,4.37,Premium,49.36,19.45,Superstar (50M+),Background Catalog,2.7646221870019,Loyal Hits
Netherlands,The Weeknd,After Hours,Hip Hop,2023,66.24,1803.77,5992.49,4.23,Free,135.0,39.38,Superstar (50M+),High-Momentum Growth,3.322202941616725,Polarizing Tracks
Germany,Taylor Swift,1989 (Taylor's Version),EDM,2020,34.59,4315.28,12934.24,2.88,Premium,28.9,8.16,Mid-Tier (10–50M),Legacy Decliner,2.9973118777924026,Casual Listening
Sweden,The Weeknd,After Hours,Hip Hop,2023,80.99,4287.04,11557.08,3.8,Free,193.83,37.13,Superstar (50M+),Stable Superstar,2.6958180936030454,Polarizing Tracks
France,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2019,48.65,4330.02,18640.24,2.83,Free,197.08,11.34,Mid-Tier (10–50M),Stable Superstar,4.304885427780934,Casual Listening
Sweden,BTS,Proof,EDM,2023,95.77,4977.34,17975.85,3.94,Free,38.79,9.49,Superstar (50M+),Legacy Decliner,3.611537487895141,Loyal Hits
India,Ed Sheeran,Autumn Variations,Jazz,2019,75.05,332.97,1221.45,3.51,Free,12.32,20.81,Superstar (50M+),Background Catalog,3.6683484998648526,Casual Listening
Canada,Drake,For All The Dogs,Classical,2018,67.85,1214.26,3326.8,4.28,Free,116.2,2.55,Superstar (50M+),High-Momentum Growth,2.7397756658376293,Loyal Hits
Brazil,BLACKPINK,BORN PINK,Classical,2021,52.76,4676.8,13602.56,3.93,Free,53.86,6.1,Superstar (50M+),Legacy Decliner,2.908518645227506,Loyal Hits
South Korea,Dua Lipa,Future Nostalgia,Indie,2023,1.92,3124.74,11330.27,2.7,Free,101.67,6.17,Emerging (<10M),Stable Superstar,3.6259880822084396,Casual Listening
Italy,SZA,SOS,Hip Hop,2022,37.58,830.85,3462.56,3.91,Free,133.9,22.63,Mid-Tier (10–50M),High-Momentum Growth,4.1674911235481735,Polarizing Tracks
Germany,SZA,SOS,Reggaeton,2022,12.43,579.83,2091.13,3.04,Free,143.8,8.94,Mid-Tier (10–50M),High-Momentum Growth,3.606453615714951,Casual Listening
Mexico,Ariana Grande,Eternal Sunshine,Rock,2020,90.63,4238.21,11377.89,3.35,Premium,9.77,14.01,Superstar (50M+),Legacy Decliner,2.684597978863718,Casual Listening
United Kingdom,Billie Eilish,Happier Than Ever,K-pop,2019,74.38,2780.82,9330.69,2.52,Free,189.07,27.95,Superstar (50M+),Stable Superstar,3.3553735948389325,Weak Engagement
United Kingdom,Ariana Grande,Eternal Sunshine,Pop,2020,58.67,783.06,2157.24,3.12,Free,179.89,9.19,Superstar (50M+),High-Momentum Growth,2.7548846831660407,Casual Listening
France,Billie Eilish,Happier Than Ever,Hip Hop,2019,78.23,4426.47,14663.81,3.74,Free,185.23,10.23,Superstar (50M+),Stable Superstar,3.312754858837855,Loyal Hits
Canada,Post Malone,Austin,Reggaeton,2019,3.45,3695.99,11695.48,4.36,Free,54.09,31.71,Emerging (<10M),Legacy Decliner,3.1643700334687055,Polarizing Tracks
Germany,BLACKPINK,BORN PINK,Pop,2021,23.02,4092.1,13997.46,3.11,Free,45.36,26.74,Mid-Tier (10–50M),Legacy Decliner,3.420605557048948,Weak Engagement
Spain,Olivia Rodrigo,Guts,K-pop,2022,96.72,1431.67,5415.96,3.3,Premium,187.91,5.5,Superstar (50M+),High-Momentum Growth,3.7829667451298135,Casual Listening
Mexico,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2019,4.79,3003.03,9583.79,4.07,Premium,121.64,20.95,Emerging (<10M),Stable Superstar,3.1913733795533177,Polarizing Tracks
Spain,SZA,SOS,Classical,2022,26.22,3558.49,8908.26,4.35,Free,73.48,3.73,Mid-Tier (10–50M),Legacy Decliner,2.5033820524997963,Loyal Hits
Japan,Ed Sheeran,Autumn Variations,Indie,2019,84.95,3612.78,11201.95,3.12,Premium,65.91,28.19,Superstar (50M+),Legacy Decliner,3.1006454863014077,Weak Engagement
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,R&B,2019,66.83,1926.77,7699.89,2.85,Premium,81.81,33.52,Superstar (50M+),Background Catalog,3.9962683662294927,Weak Engagement
South Korea,BTS,Proof,R&B,2023,78.79,3052.97,9600.06,3.38,Free,102.72,31.96,Superstar (50M+),Stable Superstar,3.144498635754691,Weak Engagement
Canada,Billie Eilish,Happier Than Ever,Hip Hop,2019,52.03,3183.06,10091.5,4.14,Free,134.89,9.76,Superstar (50M+),Stable Superstar,3.1703769328884785,Loyal Hits
Australia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Pop,2019,25.24,2401.92,10086.8,2.65,Premium,177.34,23.45,Mid-Tier (10–50M),High-Momentum Growth,4.199473754329869,Weak Engagement
Spain,Dua Lipa,Future Nostalgia,EDM,2023,15.61,3453.73,14800.34,4.22,Free,155.91,9.53,Mid-Tier (10–50M),Stable Superstar,4.2853205085516235,Loyal Hits
Indonesia,Dua Lipa,Future Nostalgia,Pop,2023,25.67,4249.26,14502.4,4.1,Premium,190.06,35.77,Mid-Tier (10–50M),Stable Superstar,3.412923662002325,Polarizing Tracks
Argentina,Doja Cat,Scarlet,Jazz,2022,83.23,2761.97,11861.05,3.99,Premium,90.56,30.32,Superstar (50M+),Legacy Decliner,4.29441666636495,Polarizing Tracks
Mexico,Post Malone,Austin,Jazz,2019,63.05,1409.26,3741.54,3.07,Premium,67.83,35.83,Superstar (50M+),Background Catalog,2.6549678554702467,Weak Engagement
Brazil,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Reggaeton,2019,38.92,806.39,2361.03,3.33,Premium,108.98,17.22,Mid-Tier (10–50M),High-Momentum Growth,2.9279008916281204,Casual Listening
Australia,Doja Cat,Scarlet,EDM,2022,90.58,2941.19,11444.31,4.21,Premium,95.92,37.77,Superstar (50M+),Legacy Decliner,3.8910475011814945,Polarizing Tracks
South Korea,Post Malone,Austin,EDM,2019,54.28,3686.44,15113.43,4.3,Premium,44.66,18.0,Superstar (50M+),Legacy Decliner,4.099735788457156,Loyal Hits
United States,BLACKPINK,BORN PINK,Indie,2021,68.24,2051.37,5805.56,3.43,Free,196.16,21.83,Superstar (50M+),High-Momentum Growth,2.830089159927268,Weak Engagement
Spain,Ed Sheeran,Autumn Variations,Classical,2019,3.68,3231.61,8956.08,3.42,Free,52.77,13.77,Emerging (<10M),Legacy Decliner,2.7713987764612686,Casual Listening
Sweden,Olivia Rodrigo,Guts,Indie,2022,28.55,4758.46,15908.15,4.17,Premium,4.86,22.04,Mid-Tier (10–50M),Legacy Decliner,3.3431299201842615,Polarizing Tracks
Italy,The Weeknd,After Hours,Hip Hop,2023,4.99,203.6,609.69,4.18,Free,48.47,19.47,Emerging (<10M),Background Catalog,2.994548133595285,Loyal Hits
Germany,Ed Sheeran,Autumn Variations,R&B,2019,70.25,3846.15,10906.06,3.71,Free,155.78,7.39,Superstar (50M+),Stable Superstar,2.8355784355784355,Loyal Hits
South Korea,Drake,For All The Dogs,Classical,2018,92.96,2900.19,12517.37,3.25,Free,16.12,27.93,Superstar (50M+),Legacy Decliner,4.31605170695713,Weak Engagement
France,Drake,For All The Dogs,K-pop,2018,60.44,649.22,2900.51,4.07,Premium,107.02,26.8,Superstar (50M+),High-Momentum Growth,4.467684298080774,Polarizing Tracks
Brazil,Ariana Grande,Eternal Sunshine,Indie,2020,85.11,4120.54,11171.1,4.42,Premium,141.75,17.98,Superstar (50M+),Stable Superstar,2.7110767035388568,Loyal Hits
Indonesia,Billie Eilish,Happier Than Ever,K-pop,2019,81.01,2713.96,9409.29,3.37,Premium,65.14,10.57,Superstar (50M+),Legacy Decliner,3.466996565903698,Casual Listening
Brazil,BTS,Proof,Rock,2023,75.3,2870.76,11013.32,3.17,Premium,170.34,8.09,Superstar (50M+),Stable Superstar,3.83637782329418,Casual Listening
Australia,Olivia Rodrigo,Guts,K-pop,2022,28.69,3000.97,12784.78,3.61,Free,18.04,29.08,Mid-Tier (10–50M),Legacy Decliner,4.260215863537456,Polarizing Tracks
Russia,Ariana Grande,Eternal Sunshine,R&B,2020,48.13,3573.62,12137.26,2.53,Premium,45.1,27.98,Mid-Tier (10–50M),Legacy Decliner,3.396348800376089,Weak Engagement
South Korea,Billie Eilish,Happier Than Ever,Classical,2019,47.85,2678.06,8974.2,3.99,Premium,71.01,18.7,Mid-Tier (10–50M),Background Catalog,3.3510078190929256,Loyal Hits
South Korea,BTS,Proof,R&B,2023,72.41,1611.96,6424.89,4.4,Free,39.12,29.81,Superstar (50M+),Background Catalog,3.985762674011762,Polarizing Tracks
Mexico,Karol G,MAÑANA SERÁ BONITO,Classical,2019,60.08,4903.53,20424.46,3.09,Premium,36.71,1.55,Superstar (50M+),Legacy Decliner,4.165256458102633,Casual Listening
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2019,97.46,2789.13,10863.2,2.75,Premium,21.41,1.48,Superstar (50M+),Legacy Decliner,3.894834589997598,Casual Listening
South Korea,Dua Lipa,Future Nostalgia,Rock,2023,34.73,4829.21,14511.57,4.22,Free,164.6,16.63,Mid-Tier (10–50M),Stable Superstar,3.004957332565782,Loyal Hits
Brazil,Ed Sheeran,Autumn Variations,Pop,2019,15.77,2836.06,8813.54,4.49,Free,112.06,17.23,Mid-Tier (10–50M),Stable Superstar,3.1076705006241054,Loyal Hits
Argentina,Post Malone,Austin,Classical,2019,77.79,1932.87,8344.22,3.09,Premium,61.77,25.22,Superstar (50M+),Background Catalog,4.317010455954099,Weak Engagement
Argentina,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2019,62.93,1360.0,3620.83,2.98,Free,32.15,16.93,Superstar (50M+),Background Catalog,2.662375,Casual Listening
Argentina,Dua Lipa,Future Nostalgia,K-pop,2023,23.92,3549.43,13863.99,3.41,Free,184.86,31.73,Mid-Tier (10–50M),Stable Superstar,3.905976452557171,Weak Engagement
Turkey,Billie Eilish,Happier Than Ever,R&B,2019,12.36,1162.81,3253.52,3.03,Free,15.21,7.47,Mid-Tier (10–50M),Background Catalog,2.7979807535194916,Casual Listening
South Korea,Ed Sheeran,Autumn Variations,Classical,2019,44.48,2370.05,7366.55,3.31,Premium,100.59,20.26,Mid-Tier (10–50M),Background Catalog,3.108183371658826,Casual Listening
Brazil,Ed Sheeran,Autumn Variations,Pop,2019,73.72,3038.38,7753.12,2.96,Free,199.91,27.22,Superstar (50M+),Stable Superstar,2.5517282235928356,Weak Engagement
Mexico,Ed Sheeran,Autumn Variations,Pop,2019,47.58,3274.97,14187.65,2.86,Premium,127.32,20.18,Mid-Tier (10–50M),Stable Superstar,4.332146554014235,Casual Listening
Brazil,Dua Lipa,Future Nostalgia,Indie,2023,34.0,3367.16,14194.15,3.16,Premium,58.36,37.86,Mid-Tier (10–50M),Legacy Decliner,4.215466446500908,Weak Engagement
South Africa,Taylor Swift,1989 (Taylor's Version),Rock,2020,32.14,1650.21,7327.54,3.31,Free,131.87,22.16,Mid-Tier (10–50M),High-Momentum Growth,4.440368195562989,Weak Engagement
Netherlands,Taylor Swift,1989 (Taylor's Version),R&B,2020,36.82,3794.39,14232.06,4.02,Free,54.14,6.11,Mid-Tier (10–50M),Legacy Decliner,3.7508163367497804,Loyal Hits
South Korea,Dua Lipa,Future Nostalgia,Rock,2023,3.86,3168.61,12986.95,3.92,Premium,110.62,22.54,Emerging (<10M),Stable Superstar,4.098626842684963,Polarizing Tracks
Brazil,The Weeknd,After Hours,Hip Hop,2023,94.76,3256.16,9143.11,4.37,Premium,102.27,11.66,Superstar (50M+),Stable Superstar,2.8079424843988012,Loyal Hits
Russia,Dua Lipa,Future Nostalgia,R&B,2023,55.58,1948.75,8464.86,3.52,Free,172.94,11.77,Superstar (50M+),High-Momentum Growth,4.343738293778063,Casual Listening
Netherlands,Olivia Rodrigo,Guts,Jazz,2022,82.23,1450.05,4490.97,3.67,Premium,173.19,18.42,Superstar (50M+),High-Momentum Growth,3.0971138926243924,Loyal Hits
Russia,Olivia Rodrigo,Guts,Indie,2022,76.52,1917.19,8369.89,4.24,Free,114.79,10.11,Superstar (50M+),High-Momentum Growth,4.365707102582425,Loyal Hits
Netherlands,Taylor Swift,1989 (Taylor's Version),Indie,2020,47.82,4571.48,14914.28,4.48,Free,99.57,2.44,Mid-Tier (10–50M),Legacy Decliner,3.262462047301968,Loyal Hits
Indonesia,Ed Sheeran,Autumn Variations,Indie,2019,87.54,2229.52,7919.04,3.41,Free,82.59,26.54,Superstar (50M+),Background Catalog,3.5519035487459183,Weak Engagement
United Kingdom,Drake,For All The Dogs,Rock,2018,34.52,3478.89,13218.65,4.2,Premium,190.87,25.45,Mid-Tier (10–50M),Stable Superstar,3.799674608855123,Polarizing Tracks
Russia,Doja Cat,Scarlet,Jazz,2022,62.13,1212.11,4689.41,3.07,Free,149.61,17.92,Superstar (50M+),High-Momentum Growth,3.8687990363910867,Casual Listening
Germany,Post Malone,Austin,Hip Hop,2019,17.47,1532.36,3919.62,3.15,Free,59.38,15.62,Mid-Tier (10–50M),Background Catalog,2.557897621968728,Casual Listening
United Kingdom,The Weeknd,After Hours,Jazz,2023,57.03,3972.97,11283.1,2.66,Premium,124.32,10.39,Superstar (50M+),Stable Superstar,2.83996607072291,Casual Listening
Turkey,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,R&B,2019,64.15,2324.87,8912.81,4.3,Premium,180.34,27.43,Superstar (50M+),High-Momentum Growth,3.833681023024943,Polarizing Tracks
Canada,Drake,For All The Dogs,Rock,2018,98.78,1530.81,6772.39,3.88,Premium,169.22,8.77,Superstar (50M+),High-Momentum Growth,4.42405654522769,Loyal Hits
Spain,Doja Cat,Scarlet,Rock,2022,24.48,2881.02,10514.64,4.49,Premium,5.37,33.37,Mid-Tier (10–50M),Legacy Decliner,3.6496240914676052,Polarizing Tracks
Spain,BTS,Proof,Pop,2023,86.64,3902.64,17355.84,4.32,Premium,166.73,36.21,Superstar (50M+),Stable Superstar,4.447204968944099,Polarizing Tracks
France,Ed Sheeran,Autumn Variations,Indie,2019,64.03,3123.41,12042.4,3.94,Free,126.02,36.23,Superstar (50M+),Stable Superstar,3.855529693508057,Polarizing Tracks
India,BTS,Proof,Rock,2023,58.38,3675.18,9850.46,3.09,Premium,35.95,6.15,Superstar (50M+),Legacy Decliner,2.6802660005768426,Casual Listening
South Africa,SZA,SOS,Indie,2022,50.68,1399.01,3957.92,4.33,Premium,193.51,12.51,Superstar (50M+),High-Momentum Growth,2.829086282442584,Loyal Hits
Japan,Post Malone,Austin,Hip Hop,2019,96.33,746.75,3310.34,4.22,Premium,193.49,32.38,Superstar (50M+),High-Momentum Growth,4.432996317375293,Polarizing Tracks
Italy,Drake,For All The Dogs,EDM,2018,27.18,661.76,2142.23,4.0,Premium,117.33,33.07,Mid-Tier (10–50M),High-Momentum Growth,3.237170575435203,Polarizing Tracks
Italy,Drake,For All The Dogs,R&B,2018,3.48,4426.96,16038.06,4.33,Free,129.88,25.78,Emerging (<10M),Stable Superstar,3.622815656793827,Polarizing Tracks
Sweden,SZA,SOS,K-pop,2022,41.42,741.9,3258.81,3.11,Premium,24.11,10.16,Mid-Tier (10–50M),Background Catalog,4.392519207440356,Casual Listening
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2019,37.73,4749.43,18489.38,3.58,Free,177.2,26.54,Mid-Tier (10–50M),Stable Superstar,3.892968208816637,Polarizing Tracks
Russia,Ed Sheeran,Autumn Variations,EDM,2019,4.24,1884.12,6381.07,4.4,Premium,20.77,27.74,Emerging (<10M),Background Catalog,3.386764112689213,Polarizing Tracks
South Africa,SZA,SOS,Indie,2022,40.42,989.55,2715.64,4.2,Premium,19.24,9.27,Mid-Tier (10–50M),Background Catalog,2.74431812439998,Loyal Hits
Argentina,Taylor Swift,1989 (Taylor's Version),Pop,2020,25.11,673.32,2443.58,2.64,Free,117.69,32.71,Mid-Tier (10–50M),High-Momentum Growth,3.6291510722984612,Weak Engagement
France,Olivia Rodrigo,Guts,Reggaeton,2022,1.28,4299.11,11991.83,2.76,Premium,159.9,5.29,Emerging (<10M),Stable Superstar,2.789375010176525,Casual Listening
United States,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Pop,2019,79.21,1227.76,3864.43,2.85,Free,26.22,17.42,Superstar (50M+),Background Catalog,3.1475451228253077,Casual Listening
Germany,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2019,45.38,1842.09,6792.4,3.4,Free,189.14,2.69,Mid-Tier (10–50M),High-Momentum Growth,3.687333409333963,Casual Listening
Indonesia,BTS,Proof,Rock,2023,96.44,351.09,1214.06,3.3,Free,98.56,36.48,Superstar (50M+),Background Catalog,3.4579737389273406,Weak Engagement
Brazil,SZA,SOS,Hip Hop,2022,61.22,375.13,1144.16,3.77,Premium,76.8,24.3,Superstar (50M+),Background Catalog,3.050035987524325,Polarizing Tracks
South Korea,Dua Lipa,Future Nostalgia,Jazz,2023,43.59,3975.83,10849.36,3.81,Free,86.58,35.64,Mid-Tier (10–50M),Legacy Decliner,2.7288289489238724,Polarizing Tracks
Netherlands,Olivia Rodrigo,Guts,Rock,2022,42.18,520.67,1746.08,3.83,Premium,190.76,27.79,Mid-Tier (10–50M),High-Momentum Growth,3.3535252655232686,Polarizing Tracks
Russia,Drake,For All The Dogs,Hip Hop,2018,10.23,527.99,2100.13,4.12,Free,117.71,22.9,Mid-Tier (10–50M),High-Momentum Growth,3.9775942726187994,Polarizing Tracks
Japan,Billie Eilish,Happier Than Ever,Hip Hop,2019,36.01,3343.44,13375.66,4.24,Free,193.71,24.42,Mid-Tier (10–50M),Stable Superstar,4.000568276984184,Polarizing Tracks
Italy,Drake,For All The Dogs,Classical,2018,22.06,3300.84,9732.49,2.72,Premium,23.86,11.86,Mid-Tier (10–50M),Legacy Decliner,2.9484888694998848,Casual Listening
France,Post Malone,Austin,EDM,2019,97.48,4101.21,15285.81,3.79,Free,122.19,26.66,Superstar (50M+),Stable Superstar,3.7271463787516366,Polarizing Tracks
Mexico,Taylor Swift,1989 (Taylor's Version),Reggaeton,2020,70.57,1579.47,5022.16,2.51,Free,113.7,16.63,Superstar (50M+),High-Momentum Growth,3.17964886955751,Casual Listening
United Kingdom,Karol G,MAÑANA SERÁ BONITO,Pop,2019,74.87,1114.91,3723.43,3.18,Premium,63.02,13.65,Superstar (50M+),Background Catalog,3.3396686728076705,Casual Listening
Turkey,Ed Sheeran,Autumn Variations,Hip Hop,2019,16.4,3784.46,9837.8,2.66,Premium,132.73,19.94,Mid-Tier (10–50M),Stable Superstar,2.599525427669998,Casual Listening
Sweden,BLACKPINK,BORN PINK,K-pop,2021,75.74,613.4,2060.92,3.07,Premium,105.86,13.03,Superstar (50M+),High-Momentum Growth,3.3598304532116074,Casual Listening
France,BLACKPINK,BORN PINK,Classical,2021,1.76,1542.03,4506.53,2.77,Premium,58.6,5.68,Emerging (<10M),Background Catalog,2.9224658404829995,Casual Listening
Russia,Karol G,MAÑANA SERÁ BONITO,EDM,2019,13.79,2686.28,7951.98,3.62,Premium,15.34,34.61,Mid-Tier (10–50M),Background Catalog,2.9602200813020234,Polarizing Tracks
India,BLACKPINK,BORN PINK,Pop,2021,92.2,4317.44,15765.21,3.65,Premium,58.61,16.8,Superstar (50M+),Legacy Decliner,3.6515180292024905,Loyal Hits
Japan,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2019,83.37,4602.86,12318.45,4.19,Free,87.7,16.62,Superstar (50M+),Legacy Decliner,2.6762599774922546,Loyal Hits
Brazil,BLACKPINK,BORN PINK,K-pop,2021,34.61,1698.69,4817.94,3.52,Free,106.59,8.56,Mid-Tier (10–50M),High-Momentum Growth,2.83626794765378,Casual Listening
Italy,Olivia Rodrigo,Guts,Reggaeton,2022,11.18,1317.04,3749.61,2.81,Free,36.25,31.14,Mid-Tier (10–50M),Background Catalog,2.8469978132782603,Weak Engagement
Russia,Dua Lipa,Future Nostalgia,Classical,2023,45.44,4624.56,16782.45,3.77,Premium,172.99,25.46,Mid-Tier (10–50M),Stable Superstar,3.628983081633712,Polarizing Tracks
United Kingdom,Dua Lipa,Future Nostalgia,Hip Hop,2023,44.78,1548.96,4723.32,2.61,Free,62.77,18.62,Mid-Tier (10–50M),Background Catalog,3.049349240780911,Casual Listening
India,Olivia Rodrigo,Guts,K-pop,2022,64.82,4887.97,13102.66,3.69,Premium,93.08,22.62,Superstar (50M+),Legacy Decliner,2.680593375163923,Polarizing Tracks
India,Dua Lipa,Future Nostalgia,Classical,2023,19.64,3044.78,10665.06,4.42,Premium,21.6,36.07,Mid-Tier (10–50M),Legacy Decliner,3.5027358298464915,Polarizing Tracks
Japan,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2019,64.97,243.75,954.34,4.48,Free,73.42,36.8,Superstar (50M+),Background Catalog,3.9152410256410257,Polarizing Tracks
Spain,BLACKPINK,BORN PINK,Indie,2021,60.19,3956.67,15014.02,2.63,Free,112.03,16.08,Superstar (50M+),Stable Superstar,3.794610114060561,Casual Listening
Mexico,Karol G,MAÑANA SERÁ BONITO,Classical,2019,34.0,2934.56,8166.46,3.2,Premium,26.66,28.64,Mid-Tier (10–50M),Legacy Decliner,2.78285671446486,Weak Engagement
Brazil,BTS,Proof,Jazz,2023,64.71,1675.96,4618.25,3.91,Free,129.56,17.51,Superstar (50M+),High-Momentum Growth,2.75558485882718,Loyal Hits
Italy,Taylor Swift,1989 (Taylor's Version),Indie,2020,18.85,1110.25,4879.92,3.47,Free,200.0,7.04,Mid-Tier (10–50M),High-Momentum Growth,4.395334384147715,Casual Listening
South Korea,Doja Cat,Scarlet,Hip Hop,2022,77.32,4183.84,17853.97,2.58,Premium,175.4,25.1,Superstar (50M+),Stable Superstar,4.2673644307621705,Weak Engagement
Argentina,BLACKPINK,BORN PINK,Reggaeton,2021,18.9,3479.59,13046.66,4.31,Premium,9.69,15.21,Mid-Tier (10–50M),Legacy Decliner,3.749481979198699,Loyal Hits
France,Dua Lipa,Future Nostalgia,Classical,2023,75.49,3929.81,11663.7,2.98,Premium,180.89,8.57,Superstar (50M+),Stable Superstar,2.968006086808268,Casual Listening
Turkey,Dua Lipa,Future Nostalgia,Rock,2023,78.03,2539.39,8474.76,2.82,Free,160.45,6.4,Superstar (50M+),High-Momentum Growth,3.3373211676820023,Casual Listening
Mexico,Taylor Swift,1989 (Taylor's Version),Rock,2020,55.9,557.82,2338.26,4.2,Premium,17.69,7.25,Superstar (50M+),Background Catalog,4.191782295364096,Loyal Hits
Sweden,SZA,SOS,Jazz,2022,83.27,503.98,2177.7,4.13,Premium,186.16,17.18,Superstar (50M+),High-Momentum Growth,4.321004801777848,Loyal Hits
Spain,Ariana Grande,Eternal Sunshine,Indie,2020,39.23,453.95,1338.73,3.14,Free,168.0,26.35,Mid-Tier (10–50M),High-Momentum Growth,2.9490692807577927,Weak Engagement
United Kingdom,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Pop,2019,91.82,2388.65,9942.09,4.02,Premium,90.27,1.2,Superstar (50M+),Background Catalog,4.162221338412911,Loyal Hits
Brazil,Taylor Swift,1989 (Taylor's Version),K-pop,2020,83.66,2766.58,10940.36,3.56,Free,155.46,10.27,Superstar (50M+),Stable Superstar,3.954470862942695,Loyal Hits
Germany,Taylor Swift,1989 (Taylor's Version),R&B,2020,64.26,3132.91,8225.81,4.17,Premium,119.75,1.64,Superstar (50M+),Stable Superstar,2.6256132477473018,Loyal Hits
Indonesia,Ed Sheeran,Autumn Variations,R&B,2019,15.21,2174.73,8110.91,2.98,Premium,38.28,27.06,Mid-Tier (10–50M),Background Catalog,3.729617009927669,Weak Engagement
Indonesia,Olivia Rodrigo,Guts,Hip Hop,2022,54.86,3942.74,13859.7,2.54,Premium,9.66,16.09,Superstar (50M+),Legacy Decliner,3.515245742808301,Casual Listening
